AccessionID,AccessionName,HasSeed,User,PopulationName,NumberOfMaternalLines,DateCollected,LocalityName,Latitude,Longitude,Altitude,Datum,Ploidy,StorageLocation,Source,ExternalID,Background,Generation,CountryOfOrigin,Notes,FirstParentID,SecondParentID,FirstParentSex,SecondParentSex
72,BdTR2h,,,,,,Turkey (various),39.76,32.43,787,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
73,BdTR2i,,,,,,Turkey (various),39.75,33.54,872,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
74,BdTR2j,,,,,,Turkey (various),39.41,32.99,1192,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
75,BdTR2k,,,,,,Turkey (various),38.76,34.07,1142,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
76,BdTR2m,,,,,,Turkey (various),38.10,34.09,1406,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
77,BdTR2n,,,,,,Turkey (various),37.77,33.52,1013,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
78,BdTR2o,,,,,,Turkey (various),39.76,32.43,787,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
79,BdTR2p,,,,,,Turkey (various),39.75,33.54,872,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
80,BdTR2r,,,,,,Turkey (various),39.41,32.99,1192,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
81,BdTR2s,,,,,,Turkey (various),38.76,34.07,1142,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
82,BdTR3a,,,,,,Turkey (various),37.77,33.52,1013,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
83,BdTR3b,,,,,,Turkey (various),37.11,34.07,2385,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
84,BdTR3c,,,,,,Turkey (various),36.78,32.96,1957,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
85,BdTR3d,,,,,,Turkey (various),40.41,34.64,1088,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
86,BdTR3e,,,,,,Turkey (various),39.75,34.65,1035,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
87,BdTR3f,,,,,,Turkey (various),39.09,35.19,1249,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
88,BdTR3g,,,,,,Turkey (various),38.40,35.16,1086,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
89,BdTR3h,,,,,,Turkey (various),37.78,35.20,3196,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
90,BdTR3i,,,,,,Turkey (various),39.75,36.82,1574,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
91,BdTR3j,,,,,,Turkey (various),38.76,36.28,1849,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
92,BdTR3k,,,,,,Turkey (various),38.42,37.39,1709,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
93,BdTR3m,,,,,,Turkey (various),37.77,37.89,614,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
94,BdTR3n,,,,,,Turkey (various),37.43,36.82,787,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
95,BdTR3o,,,,,,Turkey (various),37.12,39.03,448,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
96,BdTR3p,,,,,,Turkey (various),37.76,39.58,1156,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
97,BdTR3r,,,,,,Turkey (various),37.44,40.13,710,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
98,BdTR3s,,,,,,Turkey (various),38.10,40.66,688,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
99,BdTR3t,,,,,,Turkey (various),37.46,41.24,975,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
100,BdTR5a,,,,,,Turkey (various),36.77,44.54,886,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
101,BdTR5b,,,,,,Turkey (various),37.78,35.20,3196,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
102,BdTR5c,,,,,,Turkey (various),39.75,36.82,1574,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
103,BdTR5d,,,,,,Turkey (various),38.43,32.40,1012,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
104,BdTR5e,,,,,,Turkey (various),37.78,31.88,1288,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
105,BdTR5f,,,,,,Turkey (various),40.39,32.99,1596,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
106,BdTR5g,,,,,,Turkey (various),39.76,32.43,787,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
107,BdTR5h,,,,,,Turkey (various),39.75,33.54,872,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
