,accession_name,has_seed,population,species_id,collector_id,date_collected,has_seed,locality_name,latitude,longitude,altitude,datum,collection_trip_id,maternal_lines,ploidy,box_id,source,external_id,background,generation,country_origin,notes,lineage_id,accession_data_json
51,Tek-12,,,6,3,27/07/2012,,Tekirdag,41.0111388888889,27.5191111111111,20,,,0,,,Iain Wilson (CSIRO PI),,,,Portugal,,,
52,BdTR1A,,,6,3,27/07/2012,,Turkey (various),41.4216277777778,27.4768916666667,124,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
53,BdTR1B,,,6,3,27/07/2012,,Turkey (various),41.0853194444444,26.9314694444444,141,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
54,BdTR1C,,,6,3,27/07/2012,,Turkey (various),39.7381638888889,28.0401972222222,363,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
55,BdTR1D,,,6,3,27/07/2012,,Turkey (various),38.7641083333333,28.5851166666667,612,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
56,BdTR1E,,,6,3,27/07/2012,,Turkey (various),38.4167833333333,28.0313194444444,986,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
57,BdTR1f,,,6,3,27/07/2012,,Turkey (various),41.4216277777778,27.4768916666667,124,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
58,BdTR1g,,,6,3,27/07/2012,,Turkey (various),41.0853194444444,26.9314694444444,141,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
59,BdTR1h,,,6,3,27/07/2012,,Turkey (various),39.7381638888889,28.0401972222222,363,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
60,BdTR1i,,,6,3,27/07/2012,,Turkey (various),38.0930638888889,28.5830611111111,841,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
61,BdTR1j,,,6,3,27/07/2012,,Turkey (various),37.4272888888889,28.5852083333333,513,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
62,BdTR1k,,,6,3,27/07/2012,,Turkey (various),39.7594944444444,29.6780444444444,1007,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
63,BdTR1m,,,6,3,27/07/2012,,Turkey (various),39.0867222222222,30.2524805555556,1076,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
64,BdTR1n,,,6,3,27/07/2012,,Turkey (various),38.0998694444444,30.2455861111111,1034,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
65,BdTR2a,,,6,3,27/07/2012,,Turkey (various),39.75295,30.7886305555556,932,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
66,BdTR2b,,,6,3,27/07/2012,,Turkey (various),40.0820972222222,31.3311138888889,667,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
67,BdTR2c,,,6,3,27/07/2012,,Turkey (various),39.0858027777778,31.8915,864,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
68,BdTR2d,,,6,3,27/07/2012,,Turkey (various),38.4296611111111,31.3093638888889,1301,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
69,BdTR2e,,,6,3,27/07/2012,,Turkey (various),38.4280472222222,32.404575,1012,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
70,BdTR2f,,,6,3,27/07/2012,,Turkey (various),37.7782333333333,31.8849111111111,1288,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
71,BdTR2g,,,6,3,27/07/2012,,Turkey (various),40.3936472222222,32.9853666666667,1596,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
72,BdTR2h,,,6,3,27/07/2012,,Turkey (various),39.7564861111111,32.43235,787,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
73,BdTR2i,,,6,3,27/07/2012,,Turkey (various),39.75445,33.5378805555556,872,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
74,BdTR2j,,,6,3,27/07/2012,,Turkey (various),39.4128555555556,32.9881222222222,1192,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
